scenario_id,grade_level,course,task_type,prompt_strategy,content_focus,prompt_text,student_text
G7_PSA_base,7,Eastern Hemisphere,Primary Source Analysis,baseline,Epic of Gilgamesh,"You are helping a Grade 7 student study ancient civilizations. Help the student analyze a short excerpt from The Epic of Gilgamesh. Explain what the excerpt shows about the values or beliefs of ancient Mesopotamian society using clear, age-appropriate language.","Gilgamesh was a powerful king who ruled the city of Uruk. He was strong and brave, but he also treated his people unfairly. The gods saw how the people suffered and created Enkidu to challenge Gilgamesh. When Gilgamesh and Enkidu became friends, Gilgamesh began to change and think more about his responsibilities as a leader."
G7_PSA_disc,7,Eastern Hemisphere,Primary Source Analysis,disciplinary,Epic of Gilgamesh,"You are a middle school social studies teacher. Help a Grade 7 student analyze a short excerpt from The Epic of Gilgamesh by doing the following: (1) Briefly explain the historical context of the source. (2) Identify one key value or belief reflected in the text. (3) Explain what this reveals about ancient Mesopotamian society. Use clear, age-appropriate language and model how a historian thinks about primary sources.","Gilgamesh was a powerful king who ruled the city of Uruk. He was strong and brave, but he also treated his people unfairly. The gods saw how the people suffered and created Enkidu to challenge Gilgamesh. When Gilgamesh and Enkidu became friends, Gilgamesh began to change and think more about his responsibilities as a leader."
G7_WF_base,7,Eastern Hemisphere,Writing Feedback,baseline,River Valley Civilizations,"You are a middle school social studies teacher. Provide feedback on the following Grade 7 student paragraph answering the question: 'Why were river valleys important to early civilizations?' Focus on historical accuracy and overall quality.","River valleys were important because people needed water to live and farm. The rivers helped crops grow and made it easier for people to travel and trade. River valleys also made it easier to have cities because people could stay in one place and have food. Some civilizations started near rivers like the Nile and Tigris because the land was good for farming."
G7_WF_disc,7,Eastern Hemisphere,Writing Feedback,disciplinary,River Valley Civilizations,"You are a middle school social studies teacher. Provide feedback on the following Grade 7 student paragraph answering the question: 'Why were river valleys important to early civilizations?' Your feedback should: (1) Identify one strength. (2) Identify one area to improve. (3) Suggest one concrete improvement the student can make (for example, adding a specific example or explaining cause-and-effect more clearly). Use clear, age-appropriate language.","River valleys were important because people needed water to live and farm. The rivers helped crops grow and made it easier for people to travel and trade. River valleys also made it easier to have cities because people could stay in one place and have food. Some civilizations started near rivers like the Nile and Tigris because the land was good for farming."
G7_LS_base,7,Eastern Hemisphere,Lesson Support,baseline,Ancient River Valley Civilizations,"You are a middle school social studies teacher. Create a 25-minute mini-lesson for Grade 7 on why ancient civilizations developed near river valleys. Include: (1) learning target, (2) brief teacher explanation, (3) a quick student activity, and (4) an exit ticket.",""
G7_LS_disc,7,Eastern Hemisphere,Lesson Support,disciplinary,Ancient River Valley Civilizations,"You are a middle school social studies teacher. Create a 25-minute Grade 7 mini-lesson on why ancient civilizations developed near river valleys that explicitly builds historical thinking. Include: (1) learning target, (2) a short teacher explanation that models cause-and-effect reasoning, (3) a student activity using a simple claim-evidence-reasoning structure, and (4) an exit ticket that asks students to support a claim with evidence.",""
G9_PSA_base,9,Global Studies,Primary Source Analysis,baseline,Declaration of the Rights of Man,"You are helping a 9th grade Global Studies student analyze a short primary source excerpt. Explain what the excerpt shows about the ideas of the French Revolution using clear, student-friendly language.","'Men are born and remain free and equal in rights.' 'The aim of all political association is the preservation of the natural and imprescriptible rights of man.' 'Law is the expression of the general will.'"
G9_PSA_disc,9,Global Studies,Primary Source Analysis,disciplinary,Declaration of the Rights of Man,"You are a high school Global Studies teacher. Help a 9th grade student analyze a short primary source excerpt by doing the following: (1) Provide brief historical context (time period and situation). (2) Identify two key Enlightenment ideas in the text. (3) Explain intended audience/purpose. (4) Ask two guiding questions that help the student think deeper. Keep language accessible for 9th grade.","'Men are born and remain free and equal in rights.' 'The aim of all political association is the preservation of the natural and imprescriptible rights of man.' 'Law is the expression of the general will.'"
G9_WF_base,9,Global Studies,Writing Feedback,baseline,French Revolution Causes,"You are a high school Global Studies teacher. Provide feedback on the following 9th grade student paragraph answering: 'What caused the French Revolution?' Focus on historical accuracy and overall quality.","The French Revolution happened because the people were poor and hungry and the king was unfair. France also spent a lot of money on wars so the government was in debt. The Third Estate had to pay most of the taxes and they were mad. Enlightenment ideas also made people want freedom and rights."
G9_WF_disc,9,Global Studies,Writing Feedback,disciplinary,French Revolution Causes,"You are a high school Global Studies teacher. Provide feedback on the following 9th grade student paragraph answering: 'What caused the French Revolution?' Your feedback should: (1) Identify one strength, (2) Identify one area to improve, (3) Suggest one concrete improvement (e.g., adding a specific example, clarifying long-term vs short-term causes, or improving explanation of cause-and-effect). Keep feedback clear and actionable.","The French Revolution happened because the people were poor and hungry and the king was unfair. France also spent a lot of money on wars so the government was in debt. The Third Estate had to pay most of the taxes and they were mad. Enlightenment ideas also made people want freedom and rights."
G9_LS_base,9,Global Studies,Lesson Support,baseline,Industrialization Impacts,"You are a high school Global Studies teacher. Create a 30-minute lesson for 9th grade on how industrialization changed life for workers. Include: (1) learning target, (2) brief teacher explanation, (3) a student activity, and (4) an exit ticket.",""
G9_LS_disc,9,Global Studies,Lesson Support,disciplinary,Industrialization Impacts,"You are a high school Global Studies teacher. Create a 30-minute 9th grade lesson on how industrialization changed life for workers that explicitly builds historical thinking. Include: (1) learning target, (2) a short teacher explanation that models comparing perspectives (factory owner vs worker), (3) a student activity using claim-evidence-reasoning with at least two pieces of evidence, and (4) an exit ticket asking students to explain cause-and-effect using evidence.",""
AP_PSA_base,AP,AP US History,Primary Source Analysis,baseline,FDR First Inaugural (1933),"You are helping an AP US History student analyze a short excerpt from a primary source. Explain what the excerpt suggests about the problems facing the United States in 1933 and the government's role, using clear AP-appropriate language.","\"This is preeminently the time to speak the truth, the whole truth, frankly and boldly.\" \"So, first of all, let me assert my firm belief that the only thing we have to fear is fear itself.\" \"Our greatest primary task is to put people to work.\""
AP_PSA_disc,AP,AP US History,Primary Source Analysis,disciplinary,FDR First Inaugural (1933),"You are an AP US History teacher. Guide analysis of a short excerpt from FDR’s First Inaugural Address (1933). Your response should: (1) Provide historical context (situation in 1933), (2) Explain FDR’s purpose and intended audience, (3) Identify two key themes or claims in the excerpt, and (4) Provide two sourcing-focused questions (e.g., POV, audience, purpose) an AP student could use. Use AP-level expectations and terminology.","\"This is preeminently the time to speak the truth, the whole truth, frankly and boldly.\" \"So, first of all, let me assert my firm belief that the only thing we have to fear is fear itself.\" \"Our greatest primary task is to put people to work.\""
AP_WF_base,AP,AP US History,Writing Feedback,baseline,Reconstruction LEQ,"You are an AP US History teacher. Provide feedback on the following student response to the question: 'Evaluate the extent to which Reconstruction transformed Southern society.' Focus on historical accuracy and overall quality of the response.","Reconstruction significantly transformed Southern society by ending slavery and expanding rights for African Americans. The 13th Amendment abolished slavery, while the 14th and 15th Amendments granted citizenship and voting rights. These changes helped formerly enslaved people gain more freedom and political participation. However, Reconstruction did not completely transform the South because many white Southerners resisted these changes. Groups like the Ku Klux Klan used violence to limit Black political power, and Southern states passed laws that restricted African Americans’ rights. As a result, although Reconstruction brought important changes, its impact was limited by resistance and did not fully achieve equality."
AP_WF_disc,AP,AP US History,Writing Feedback,disciplinary,Reconstruction LEQ,"You are an AP US History teacher preparing students for the AP exam. Provide feedback on the following student response to the question: 'Evaluate the extent to which Reconstruction transformed Southern society.' Your feedback should: (1) Assess the strength of the thesis, (2) Comment on use of specific historical evidence, (3) Address historical reasoning (extent of change vs continuity), and (4) Suggest one concrete improvement to strengthen the response. Use AP-level expectations and terminology.","Reconstruction significantly transformed Southern society by ending slavery and expanding rights for African Americans. The 13th Amendment abolished slavery, while the 14th and 15th Amendments granted citizenship and voting rights. These changes helped formerly enslaved people gain more freedom and political participation. However, Reconstruction did not completely transform the South because many white Southerners resisted these changes. Groups like the Ku Klux Klan used violence to limit Black political power, and Southern states passed laws that restricted African Americans’ rights. As a result, although Reconstruction brought important changes, its impact was limited by resistance and did not fully achieve equality."
AP_LS_base,AP,AP US History,Lesson Support,baseline,New Deal Overview,"You are an AP US History teacher. Create a 45-minute lesson introducing the New Deal. Include: (1) learning objectives, (2) brief direct instruction outline, (3) a guided practice activity, and (4) an exit ticket.",""
AP_LS_disc,AP,AP US History,Lesson Support,disciplinary,New Deal (Continuity/Change), "You are an AP US History teacher. Create a 45-minute lesson on the New Deal that explicitly builds AP historical thinking skills. Include: (1) learning objectives aligned to evaluating continuity and change over time, (2) a short direct instruction outline that frames a historical argument, (3) a student activity where students categorize evidence into continuity vs change and write a claim with evidence, and (4) an exit ticket that asks students to defend an argument about how transformative the New Deal was using evidence.",""
